"V1" "V2" "V3"
0.398378404003861 0.106859258772398 0.528482784573869
0.314931359563953 0.0882686931152138 0.624834416782312
0.235029904542959 0.070409009672326 0.717420113211171
0.162916798560034 0.0536431551140552 0.800058412884534
0.102985674735972 0.038794692508177 0.867805735465124
0.0580916900840488 0.0264818244799528 0.919324194101377
"V1" "V2" "V3"
0.34 0.33 0.33
0.444121430972236 0.191990409690492 0.355440654398065
0.399469750359373 0.216940377497057 0.415216665011508
0.310326829440658 0.229651478270912 0.488984777986797
0.22259940935981 0.230424443788339 0.572697699633769
0.147573562192794 0.221517552917765 0.651955920469028
0.0899776426482082 0.205256134495746 0.720308933633959
0.0503281846003697 0.183791788200235 0.77570084525828
0.0261120341619599 0.160085832891272 0.819046100611869
"V1" "V2" "V3"
0.34 0.33 0.33
0.46254429103841 0.20520027583846 0.312689780582187
0.465262484922694 0.235729651543947 0.30925506089718
0.430525451036746 0.269477007300814 0.304952043191547
0.389731049618512 0.311326594049461 0.302646963111962
0.346909103580029 0.359381121445507 0.297013364746415
0.30449222938523 0.412682606057084 0.285835987634509
0.263714480924275 0.470475853451469 0.268679935802294
0.225021562523797 0.531664929963133 0.246203783871267
